t (s),V (mV)
0,17.8753
1.034,17.8218
2.033,17.7668
3.033,17.7114
4.033,17.659
5.033,17.6064
6.033,17.5556
7.034,17.5059
8.033,17.4589
9.034,17.4116
10.034,17.3666
11.033,17.3224
12.034,17.2546
13.034,17.2358
14.034,17.1951
15.034,17.1529
16.034,17.1134
17.033,17.0727
18.034,17.0344
19.033,16.9959
20.034,16.958
21.033,16.92
22.034,16.8828
23.034,16.8467
24.034,16.8112
25.034,16.7752
26.034,16.7396
27.033,16.7042
28.034,16.6691
29.034,16.6353
30.033,16.6005
31.034,16.5666
32.034,16.5328
33.034,16.4994
34.034,16.4656
35.034,16.4324
36.034,16.3993
37.033,16.3661
38.033,16.3341
39.034,16.301
40.034,16.2681
41.034,16.2362
42.033,16.2045
43.034,16.1722
44.034,16.1388
45.034,16.1043
46.034,16.0826
47.033,16.051
48.034,16.0192
49.033,15.9882
50.034,15.9453
51.033,15.9228
52.033,15.8912
53.034,15.8605
54.034,15.8299
55.033,15.799
56.034,15.7681
57.034,15.737
58.034,15.7066
59.033,15.6763
60.034,15.6454
61.033,15.6159
62.034,15.5855
63.034,15.5556
64.034,15.5258
65.034,15.4952
66.034,15.4658
67.033,15.4357
68.034,15.4054
69.033,15.3771
70.034,15.3467
71.034,15.2884
72.033,15.2583
73.034,15.2352
74.034,15.1981
75.034,15.1673
76.034,15.1372
77.034,15.1069
78.033,15.0794
79.033,15.0805
80.034,15.0598
81.034,14.9898
82.034,14.9614
83.034,14.932
84.033,14.903
85.033,14.8728
86.034,14.8438
87.034,14.8148
88.033,14.7871
89.034,14.7569
90.034,14.7289
91.033,14.7015
92.034,14.6715
93.034,14.6427
94.034,14.6146
95.033,14.5887
96.034,14.5595
97.033,14.5319
98.034,14.5033
99.034,14.4768
100.034,14.4471
101.034,14.4193
102.034,14.3913
103.033,14.3635
104.034,14.3356
105.033,14.3085
106.034,14.2807
107.034,14.2533
108.033,14.2268
109.034,14.2007
110.033,14.1719
111.034,14.1443
112.034,14.1209
113.034,14.0916
114.033,14.0644
115.034,14.0366
116.034,14.0094
117.034,13.982
118.033,13.9649
119.033,13.9294
120.034,13.9028
121.034,13.8782
122.034,13.8495
123.033,13.8263
124.034,13.7911
125.034,13.7774
126.033,13.7489
127.034,13.7214
128.033,13.695
129.034,13.6639
130.034,13.636
131.033,13.6091
132.034,13.5831
133.034,13.5565
134.033,13.5294
135.034,13.5041
136.034,13.4782
137.033,13.453
138.034,13.4267
139.034,13.4003
140.033,13.3749
141.034,13.3501
142.034,13.3239
143.033,13.2975
144.034,13.2712
145.034,13.2459
146.033,13.2212
147.034,13.1954
148.033,13.1704
149.034,13.1459
150.034,13.1201
151.034,13.0954
152.034,13.0705
153.034,13.0454
154.034,13.0209
155.034,12.9953
156.034,12.9705
157.034,12.9466
158.033,12.922
159.034,12.9026
160.034,12.8765
161.033,12.8506
162.033,12.8347
163.034,12.809
164.034,12.7758
165.033,12.7488
166.034,12.7265
167.034,12.7043
168.033,12.6875
169.034,12.6677
170.034,12.6363
171.033,12.6063
172.034,12.5832
173.034,12.5593
174.033,12.5355
175.034,12.513
176.034,12.4992
177.034,12.4696
178.034,12.4461
179.034,12.4197
180.034,12.3968
181.033,12.3749
182.033,12.3521
183.034,12.3285
184.034,12.3097
185.034,12.2941
186.034,12.2637
187.033,12.2353
188.034,12.2104
189.034,12.1908
190.034,12.1629
191.034,12.1392
192.034,12.1158
193.034,12.094
194.034,12.0726
195.034,12.045
196.034,12.0229
197.034,11.9991
198.034,11.9764
199.033,11.9526
200.034,11.9296
201.034,11.9073
202.034,11.8844
203.034,11.8634
204.033,11.8411
205.034,11.8187
206.033,11.7942
207.034,11.7729
208.033,11.7508
209.034,11.7297
210.034,11.707
211.034,11.6871
212.034,11.6639
213.033,11.6411
214.034,11.6205
215.034,11.5961
216.033,11.5755
217.034,11.5538
218.034,11.5313
219.034,11.5139
220.034,11.4936
221.034,11.476
222.034,11.4496
223.033,11.423
224.034,11.4037
225.034,11.3812
226.033,11.3618
227.034,11.3435
228.034,11.3173
229.033,11.2983
230.034,11.2839
231.033,11.2647
232.034,11.2333
233.034,11.2112
234.034,11.1922
235.033,11.1731
236.034,11.1677
237.033,11.1335
238.034,11.106
239.034,11.0879
240.033,11.0666
241.034,11.0458
242.034,11.0232
243.034,11.0085
244.033,10.9956
245.033,10.9652
246.034,10.9429
247.034,10.9228
248.033,10.9036
249.034,10.8934
250.034,10.885
251.034,10.8421
252.034,10.8235
253.033,10.8236
254.033,10.8074
255.034,10.7679
256.034,10.7452
257.034,10.7233
258.034,10.704
259.033,10.6851
260.034,10.6659
261.033,10.6441
262.034,10.6252
263.034,10.6065
264.032,10.586
265.033,10.5664
266.033,10.5471
267.033,10.5307
268.033,10.5371
269.032,10.5045
270.032,10.4751
271.033,10.4543
272.033,10.4356
273.033,10.4102
274.032,10.3886
275.032,10.3704
276.033,10.3482
277.033,10.3296
278.032,10.3098
279.033,10.2915
280.033,10.2802
281.032,10.257
282.033,10.233
283.032,10.2153
284.033,10.1983
285.032,10.1801
286.033,10.1636
287.032,10.1369
288.033,10.1212
289.033,10.1063
290.032,10.0899
291.033,10.0871
292.033,10.0477
293.032,10.056
294.033,10.0091
295.034,9.9883
296.033,9.9667
297.033,9.9472
298.033,9.9306
299.034,9.9145
300.034,9.894
301.033,9.8732
302.033,9.8567
303.034,9.8379
304.034,9.8184
305.033,9.8013
306.034,9.7862
307.034,9.7691
308.034,9.7473
309.033,9.7279
310.034,9.7112
311.034,9.693
312.033,9.6779
313.034,9.6589
314.034,9.64
315.033,9.6214
316.034,9.6055
317.034,9.5872
318.033,9.5921
319.033,9.5585
320.034,9.5336
321.034,9.5194
322.033,9.5018
323.033,9.494
324.034,9.4865
325.034,9.4487
326.034,9.4367
327.034,9.417
328.034,9.4045
329.034,9.3802
330.033,9.3612
331.034,9.3433
332.034,9.331
333.034,9.3061
334.033,9.294
335.034,9.2709
336.034,9.2537
337.034,9.2369
338.033,9.2194
339.034,9.2191
340.034,9.2023
341.034,9.1821
