t (s),V (mV)
0,19.4428
1,19.3969
2,19.3515
3,19.3048
4,19.2561
5,19.2082
6,19.1594
7,19.1097
8,19.0617
9,19.0124
10,18.9628
11,18.9134
11.999,18.8633
13,18.814
13.999,18.7649
14.999,18.7154
16,18.667
17,18.6179
18,18.5702
18.999,18.5216
20,18.4731
21,18.4242
21.999,18.3753
23,18.3271
24,18.2792
25,18.2321
26,18.1841
27,18.136
27.999,18.0893
29,18.0397
30,17.9937
31,17.9468
32,17.8999
33,17.8543
33.999,17.8078
35,17.7614
36,17.716
37,17.6702
38,17.6247
38.999,17.5811
40,17.5352
40.999,17.4908
42,17.4462
43,17.4005
43.999,17.3578
44.999,17.3117
45.999,17.2653
47,17.2229
48,17.1786
49,17.1341
50,17.0888
51,17.0454
52,17.0005
53,16.9579
53.999,16.9141
55,16.871
56,16.8284
56.999,16.7857
58,16.7434
59,16.7002
59.999,16.6576
61,16.6152
62,16.5728
63,16.5309
64,16.4874
65,16.4451
65.999,16.4027
67,16.362
67.999,16.3197
69,16.2786
70,16.2365
71,16.1948
71.999,16.1536
73,16.1128
74,16.071
75,16.0307
75.999,15.9887
77,15.9481
77.999,15.9071
79,15.867
79.999,15.8254
81,15.7845
81.999,15.7447
83,15.7054
84,15.6657
85,15.6224
86,15.5903
87,15.5509
87.999,15.512
88.999,15.4732
89.999,15.4346
91,15.3958
92,15.357
93,15.3185
93.999,15.2814
95,15.2424
96,15.2043
96.999,15.1671
97.999,15.1294
99,15.0917
100,15.0539
100.999,15.0165
102,14.9787
103,14.9409
104,14.904
104.999,14.8664
106,14.8289
106.999,14.7922
108,14.7548
108.999,14.7167
110,14.6802
110.999,14.643
112,14.6063
113,14.5693
114,14.5323
114.999,14.4954
116,14.4591
117,14.4234
117.999,14.3859
119,14.351
120,14.315
120.999,14.2777
122,14.2422
123,14.1915
123.999,14.1573
125,14.1386
125.999,14.1028
127,14.0681
127.999,14.0323
129,13.9965
130,13.9618
130.999,13.9266
132,13.8923
132.999,13.857
134,13.8228
134.999,13.7605
136,13.725
136.999,13.6896
138,13.6551
139,13.6216
140,13.5842
140.999,13.5503
142,13.5194
143,13.5199
144,13.4861
145,13.4534
145.999,13.4188
147,13.386
147.999,13.3524
149,13.3193
149.999,13.2867
151,13.2542
152,13.174
153,13.1437
154,13.114
154.999,13.0764
156,13.0423
157,13.0096
158,12.9762
159,12.9442
160,12.9115
161,12.8792
161.999,12.8468
163,12.8142
164,12.7849
165,12.7532
166,12.7184
166.999,12.6885
167.999,12.6534
168.999,12.6207
169.999,12.5896
171,12.5571
172,12.5264
173,12.4992
174,12.4483
175,12.426
176,12.4062
176.999,12.3772
178,12.3418
179,12.3136
180,12.2748
181,12.2444
182,12.2127
183,12.1804
184,12.1497
185,12.1199
186,12.0887
187,12.0609
188,12.0269
188.999,11.9956
189.999,11.9653
191,11.935
192,11.9057
193,11.8747
194,11.8452
195,11.8154
195.999,11.7856
196.999,11.7554
198,11.7259
199,11.6971
200,11.6673
201,11.6383
202,11.6082
202.999,11.5788
204,11.5494
205,11.5222
205.999,11.4911
207,11.4638
208,11.4321
209,11.4038
210,11.3735
210.999,11.3451
212,11.315
213,11.2867
214,11.2592
215,11.2298
216,11.201
216.999,11.1731
218,11.1437
219,11.1162
220,11.0878
221,11.0581
221.999,11.0322
223,11.0017
223.999,10.9736
225,10.9452
226,10.9172
227,10.8901
228,10.8624
228.999,10.8361
230,10.8067
231,10.7798
231.999,10.755
233,10.7252
234,10.6803
234.999,10.6595
236,10.6315
236.999,10.5983
237.998,10.5872
238.998,10.5572
239.999,10.5184
240.999,10.4916
241.998,10.4643
242.998,10.4376
243.999,10.414
244.998,10.3873
245.998,10.3653
246.999,10.3366
