t (s),V (mV)
0,19.9009
0.973,19.7599
1.909,19.6357
2.884,19.5128
3.884,19.3894
4.884,19.2708
5.884,19.1575
6.884,19.049
7.883,18.9467
8.884,18.8478
9.883,18.7544
10.884,18.6649
11.884,18.5779
12.884,18.4967
13.883,18.4194
14.884,18.3437
15.883,18.2721
16.883,18.2039
17.884,18.1386
18.884,18.0758
19.883,18.0111
20.883,17.9559
21.884,17.8987
22.884,17.8451
23.884,17.7926
24.883,17.7434
25.884,17.6956
26.883,17.65
27.884,17.6045
28.884,17.5601
29.884,17.5176
30.883,17.4771
31.884,17.4362
32.884,17.3966
33.884,17.359
34.884,17.3214
35.884,17.2863
36.884,17.2503
37.883,17.2159
38.884,17.1814
39.884,17.149
40.884,17.1167
41.884,17.0837
42.884,17.0525
43.884,17.0221
44.884,16.9926
45.884,16.9633
46.883,16.9354
47.884,16.9071
48.884,16.8792
49.883,16.852
50.884,16.8245
51.884,16.7978
52.884,16.7718
53.884,16.7454
54.883,16.7179
55.884,16.6938
56.884,16.6677
57.884,16.642
58.884,16.6177
59.883,16.5924
60.884,16.5673
61.884,16.5427
62.884,16.5184
63.883,16.4933
64.883,16.4686
65.884,16.4455
66.884,16.4214
67.884,16.3964
68.884,16.3724
69.883,16.3485
70.884,16.3256
71.884,16.3029
72.884,16.2794
73.884,16.2553
74.884,16.232
75.884,16.2088
76.884,16.1864
77.884,16.1633
78.884,16.1404
79.884,16.1179
80.884,16.0953
81.884,16.0725
82.884,16.0496
83.884,16.0278
84.884,16.0046
85.884,15.982
86.883,15.964
87.884,15.9419
88.884,15.9205
89.883,15.898
90.884,15.8763
91.884,15.854
92.884,15.8325
93.884,15.8117
94.883,15.7896
95.884,15.768
96.884,15.7469
97.884,15.7255
98.884,15.7045
99.883,15.6824
100.883,15.6603
101.883,15.6399
102.884,15.619
103.884,15.5972
104.883,15.5761
105.884,15.5551
106.884,15.5343
107.883,15.5135
108.884,15.4928
109.884,15.4721
110.883,15.451
111.884,15.4305
112.884,15.4105
113.884,15.3892
114.884,15.3693
115.884,15.3489
116.883,15.3278
117.883,15.3079
118.884,15.2872
119.884,15.2675
120.883,15.246
121.884,15.2264
122.884,15.2068
123.884,15.1862
124.884,15.1659
125.884,15.1467
126.884,15.1264
127.883,15.1053
128.884,15.0861
129.884,15.0665
130.884,15.0471
131.884,14.9886
132.884,15.0106
133.883,14.9859
134.884,14.9835
135.884,14.9656
136.883,14.9461
137.884,14.9275
138.884,14.9076
139.884,14.8883
140.884,14.8684
141.884,14.8493
142.883,14.8303
143.884,14.8104
144.883,14.7914
145.884,14.7713
146.884,14.7507
147.884,14.7315
148.883,14.7119
149.884,14.6924
150.883,14.6726
151.883,14.6528
152.884,14.6334
153.884,14.6141
154.883,14.5954
155.884,14.5754
156.883,14.5565
157.883,14.5371
158.884,14.517
159.884,14.4978
160.883,14.4803
161.883,14.46
162.884,14.4422
163.884,14.4245
164.884,14.4054
165.883,14.3871
166.884,14.3667
167.883,14.3485
168.883,14.3288
169.884,14.3099
170.884,14.2917
171.883,14.2737
172.884,14.2546
173.883,14.2365
174.884,14.2157
175.884,14.1981
176.884,14.1791
177.884,14.1614
178.884,14.143
179.883,14.1248
180.883,14.106
181.884,14.0872
182.884,14.0693
183.884,14.0507
184.884,14.0323
185.883,14.0143
186.884,13.9958
187.884,13.9778
188.883,13.9587
189.884,13.9403
190.883,13.9223
191.884,13.9031
192.883,13.8857
193.884,13.8302
194.884,13.8101
195.883,13.7912
196.884,13.7729
197.884,13.7608
198.883,13.7372
199.884,13.7171
200.884,13.6986
201.884,13.6821
202.884,13.6625
203.884,13.6431
204.884,13.6743
205.884,13.6111
206.884,13.5871
207.884,13.5686
208.884,13.5536
209.883,13.534
210.884,13.5142
211.884,13.4936
212.884,13.4794
213.884,13.4597
214.883,13.4412
215.884,13.4232
216.884,13.4018
217.884,13.3852
218.884,13.3754
219.884,13.3542
220.884,13.336
221.884,13.3159
222.884,13.3021
223.884,13.2822
224.883,13.2624
225.884,13.248
226.883,13.2284
227.884,13.2101
228.883,13.1937
229.884,13.1756
230.883,13.1597
231.884,13.1463
232.883,13.1911
233.884,13.1743
234.884,13.1562
235.884,13.1397
236.884,13.1228
237.884,13.1049
238.884,13.089
239.884,13.0724
240.884,12.9934
241.884,12.9645
242.884,12.9498
243.884,12.9316
244.883,12.9177
245.883,12.9027
246.884,12.8799
247.884,12.8642
248.883,12.8514
249.884,12.8308
250.884,12.8133
251.884,12.7966
252.884,12.7806
253.883,12.7668
254.884,12.7523
255.883,12.7287
256.884,12.7182
257.884,12.7016
258.884,12.6803
259.883,12.6623
260.883,12.6495
261.883,12.6327
262.883,12.6114
263.884,12.598
264.884,12.5794
265.884,12.5648
266.884,12.5455
267.883,12.5297
268.884,12.5144
269.883,12.5023
270.884,12.4872
271.884,12.4659
272.884,12.4466
273.884,12.4311
274.884,12.4138
275.884,12.3999
276.883,12.3816
277.884,12.3649
278.884,12.3481
279.884,12.3335
280.884,12.3254
281.883,12.2986
282.884,12.2838
283.883,12.2672
284.884,12.2521
285.883,12.2331
286.884,12.2185
287.883,12.2029
288.884,12.1852
289.884,12.1678
290.884,12.1507
291.884,12.1365
292.884,12.1198
293.884,12.1049
294.883,12.0899
295.884,12.073
296.884,12.0558
297.884,12.0393
298.883,12.026
299.884,12.011
300.883,11.9976
301.884,11.9764
302.883,11.9587
303.883,11.9448
304.884,11.9282
305.884,11.9127
306.884,11.9033
307.883,11.8881
308.884,11.8661
309.884,11.8514
310.884,11.836
311.884,11.8201
312.883,11.8056
313.884,11.7915
314.884,11.7746
315.884,11.7596
316.884,11.7429
317.883,11.7262
318.884,11.7101
319.884,11.6966
320.883,11.6806
321.884,11.6631
322.884,11.6488
323.883,11.6337
324.884,11.618
325.884,11.6032
326.884,11.5893
327.883,11.5735
328.883,11.5561
329.884,11.5401
330.884,11.5277
331.883,11.5117
332.884,11.494
333.884,11.4797
334.884,11.4637
335.883,11.4486
336.883,11.4346
337.884,11.4175
338.884,11.4026
339.884,11.3898
340.883,11.3739
341.884,11.3588
342.884,11.3418
343.883,11.3272
344.884,11.3113
345.884,11.2965
346.884,11.2806
347.883,11.267
348.884,11.2511
349.884,11.2368
350.884,11.2269
351.884,11.2101
352.884,11.1929
353.884,11.1788
354.884,11.1647
355.883,11.15
356.883,11.1349
357.884,11.1195
358.884,11.1056
359.884,11.0937
360.884,11.0781
361.884,11.0637
362.883,11.0499
363.883,11.0357
364.884,11.0193
365.884,11.0064
366.884,10.9922
367.884,10.9772
368.884,10.9629
369.884,10.9499
370.884,10.9363
371.884,10.9208
372.884,10.9073
373.884,10.8921
374.884,10.8786
375.884,10.864
376.883,10.8486
377.884,10.8361
378.884,10.8219
379.884,10.8065
380.884,10.7936
381.883,10.7772
382.884,10.7626
383.883,10.7483
384.884,10.7338
385.884,10.7193
386.883,10.7051
387.884,10.6908
388.883,10.6792
389.884,10.663
390.884,10.6478
391.884,10.6335
392.884,10.6212
393.883,10.6051
394.883,10.5918
395.882,10.5763
396.883,10.5638
397.883,10.5529
398.883,10.5383
399.882,10.5214
400.882,10.5079
401.882,10.4936
402.883,10.4799
403.882,10.4653
404.883,10.4521
405.883,10.4387
406.883,10.4247
407.883,10.4127
408.882,10.3974
409.883,10.3837
410.882,10.3709
411.883,10.357
412.882,10.3427
413.883,10.3294
414.882,10.3152
415.883,10.3028
416.882,10.2885
417.883,10.2754
418.882,10.2623
419.883,10.2487
420.883,10.2574
421.883,10.2245
422.882,10.216
423.883,10.1977
424.882,10.1817
425.883,10.1809
426.883,10.1618
427.882,10.1424
428.883,10.1313
429.882,10.1186
430.883,10.116
431.883,10.0934
432.883,10.1024
433.882,10.0762
434.883,10.0549
435.882,10.0462
436.883,10.0346
437.883,10.0116
438.884,9.9999
439.884,9.9839
440.884,9.9745
441.884,9.9832
442.884,9.951
443.883,9.9658
444.884,9.9351
445.884,9.918
446.884,9.897
447.884,9.884
448.884,9.8712
449.884,9.8551
450.884,9.8424
451.883,9.8303
452.884,9.8159
453.884,9.8063
454.883,9.7933
455.884,9.777
456.884,9.7666
457.883,9.7658
458.884,9.7423
459.884,9.7256
460.883,9.724
461.884,9.7141
462.884,9.688
463.883,9.6779
464.884,9.6649
465.884,9.656
466.883,9.6402
467.884,9.6261
468.884,9.614
469.884,9.6008
470.884,9.589
471.883,9.5844
472.884,9.5653
473.884,9.5529
474.883,9.5413
475.884,9.5281
476.884,9.5149
477.884,9.5021
478.884,9.4895
479.883,9.478
480.884,9.4653
481.884,9.4535
482.884,9.4401
483.884,9.4479
484.884,9.4187
485.883,9.4036
486.884,9.3893
487.884,9.3773
488.883,9.3636
489.884,9.3569
490.884,9.3403
491.884,9.3359
492.884,9.3274
493.883,9.3104
494.884,9.2951
495.884,9.2795
496.883,9.2664
497.884,9.2554
498.883,9.2391
499.884,9.2336
500.884,9.2163
501.884,9.2041
502.884,9.1904
503.884,9.1796
504.883,9.1662
505.883,9.1667
506.884,9.1574
507.884,9.1387
508.884,9.1187
509.884,9.1354
510.884,9.0954
511.884,9.0833
512.883,9.0707
513.883,9.06
514.884,9.0472
515.884,9.0393
516.884,9.0269
517.884,9.0133
518.883,9.0017
519.883,8.9912
520.883,8.9798
521.884,8.9674
522.884,8.9564
523.884,8.9439
524.884,8.9332
525.884,8.9216
526.884,8.9098
527.883,8.899
528.884,8.8863
529.884,8.878
530.884,8.8925
531.884,8.8602
532.883,8.8437
533.884,8.8293
