t (s),V (mV)
0,19.7586
1.048,19.6588
2.082,19.5588
3.082,19.4676
4.082,19.3809
5.082,19.2961
6.082,19.2152
7.082,19.1363
8.082,19.0612
9.082,18.9881
10.081,18.918
11.082,18.8498
12.082,18.7844
13.082,18.7214
14.081,18.66
15.082,18.602
16.082,18.545
17.082,18.4898
18.082,18.4358
19.081,18.3849
20.082,18.3353
21.081,18.2864
22.082,18.2386
23.082,18.1938
24.081,18.1489
25.082,18.1049
26.082,18.0641
27.081,18.0234
28.082,17.9848
29.082,17.9461
30.081,17.9082
31.082,17.8719
32.082,17.8356
33.081,17.801
34.082,17.7672
35.082,17.7335
36.082,17.7005
37.082,17.6682
38.082,17.6367
39.082,17.6059
40.082,17.5756
41.082,17.5456
42.082,17.5159
43.082,17.4873
44.082,17.4591
45.082,17.431
46.081,17.4032
47.082,17.376
48.081,17.3495
49.082,17.3228
50.082,17.2967
51.082,17.2717
52.081,17.2459
53.082,17.2208
54.081,17.1962
55.082,17.171
56.081,17.1476
57.082,17.1233
58.081,17.1
59.082,17.0761
60.082,17.0529
61.082,17.03
62.082,17.0069
63.082,16.9841
64.082,16.9623
65.082,16.9402
66.081,16.9174
67.082,16.8953
68.082,16.8743
69.081,16.8526
70.082,16.8312
71.081,16.8097
72.081,16.7884
73.082,16.7651
74.082,16.7455
75.082,16.7242
76.082,16.7033
77.081,16.6822
78.082,16.6617
79.081,16.6419
80.082,16.6214
81.081,16.6011
82.082,16.5794
83.082,16.5596
84.082,16.54
85.081,16.5199
86.082,16.4998
87.082,16.48
88.082,16.4586
89.082,16.4396
90.082,16.419
91.082,16.3997
92.082,16.3791
93.082,16.3596
94.082,16.3398
95.081,16.3195
96.082,16.3004
97.081,16.2804
98.082,16.2611
99.082,16.2422
100.082,16.222
101.082,16.2029
102.082,16.1831
103.081,16.1635
104.082,16.1446
105.082,16.126
106.081,16.1066
107.082,16.0875
108.082,16.0694
109.082,16.0509
110.081,16.0339
111.082,16.0145
112.082,15.9966
113.081,15.9788
114.082,15.9598
115.081,15.9429
116.082,15.9241
117.082,15.9059
118.082,15.8869
119.082,15.8688
120.081,15.8504
121.082,15.8348
122.082,15.8145
123.082,15.7981
124.082,15.7798
125.081,15.7617
126.082,15.7428
127.082,15.7251
128.082,15.7065
129.081,15.6892
130.082,15.67
131.081,15.6532
132.082,15.6344
133.082,15.6166
134.081,15.599
135.082,15.5809
136.081,15.563
137.082,15.5445
138.082,15.5263
139.082,15.509
140.082,15.4899
141.081,15.4731
142.082,15.4544
143.081,15.4375
144.082,15.419
145.081,15.4021
146.082,15.384
147.081,15.3666
148.082,15.3491
149.081,15.3316
150.082,15.3145
151.082,15.2964
152.082,15.2793
153.082,15.2612
154.082,15.244
155.082,15.2269
156.082,15.2091
157.082,15.192
158.082,15.1743
159.082,15.1573
160.081,15.14
161.082,15.1218
162.082,15.1052
163.081,15.0878
164.082,15.0704
165.081,15.0533
166.082,15.036
167.082,15.0184
168.081,15.0017
169.082,14.9844
170.085,14.9674
171.081,14.9508
172.082,14.9324
173.082,14.9154
174.082,14.8989
175.082,14.8818
176.082,14.8644
177.082,14.8484
178.082,14.8318
179.082,14.8149
180.082,14.795
181.082,14.785
182.082,14.7686
183.082,14.7523
184.082,14.7363
185.082,14.7208
186.081,14.7048
187.082,14.6882
188.081,14.6726
189.082,14.6565
190.082,14.6408
191.082,14.6238
192.081,14.608
193.082,14.5923
194.082,14.5756
195.082,14.5597
196.081,14.5442
197.082,14.5274
198.082,14.5113
199.081,14.4954
200.082,14.4796
201.081,14.4625
202.082,14.4474
203.081,14.4295
204.081,14.413
205.082,14.3974
206.081,14.3803
207.082,14.3651
208.081,14.3479
209.082,14.3316
210.082,14.315
211.082,14.2991
212.082,14.2835
213.082,14.2666
214.082,14.2517
215.082,14.2352
216.082,14.2096
217.081,14.2033
218.082,14.188
219.081,14.1711
220.082,14.1554
221.082,14.1397
222.082,14.1239
223.082,14.1071
224.082,14.0923
225.081,14.0756
226.082,14.0604
227.081,14.0442
228.082,14.0283
229.081,14.0123
230.082,13.9969
231.084,13.9829
232.082,13.9659
233.082,13.9505
234.082,13.9348
235.082,13.9193
236.081,13.9037
237.082,13.8885
238.081,13.8729
239.082,13.8579
240.081,13.842
241.082,13.8263
242.082,13.8119
243.082,13.7959
244.081,13.7807
245.082,13.7664
