t (s),V (mV)
246.081,13.7506
247.082,13.736
248.082,13.7202
249.081,13.7045
250.082,13.6896
251.082,13.6755
252.082,13.66
253.081,13.6447
254.082,13.6302
255.082,13.6148
256.081,13.5996
257.082,13.5859
258.082,13.5706
259.082,13.5563
260.081,13.541
261.082,13.5281
262.082,13.5132
263.082,13.4985
264.081,13.4835
265.082,13.4708
266.082,13.4556
267.082,13.4408
268.081,13.4259
269.082,13.4122
270.082,13.3973
271.082,13.3815
272.081,13.368
273.081,13.3532
274.082,13.338
275.082,13.3234
276.081,13.3078
277.082,13.2931
278.082,13.2778
279.082,13.2635
280.081,13.2488
281.081,13.2346
282.082,13.2191
283.082,13.2051
284.081,13.1903
285.082,13.1753
286.082,13.1619
287.082,13.1478
288.081,13.1335
289.082,13.1184
290.082,13.104
291.082,13.09
292.082,13.0749
293.082,13.0611
294.082,13.0469
295.081,13.0324
296.081,13.0176
297.082,13.0026
298.082,12.989
299.081,12.9742
300.081,12.9596
301.082,12.9082
302.082,12.8918
303.082,12.876
304.081,12.8636
305.082,12.8894
306.082,12.8753
307.082,12.8602
308.082,12.8466
309.081,12.8324
310.081,12.8182
311.082,12.8035
312.081,12.7889
313.081,12.7748
314.081,12.7611
315.082,12.7474
316.082,12.7329
317.082,12.7192
318.082,12.7053
319.082,12.6921
320.082,12.6784
321.081,12.6641
322.082,12.6501
323.082,12.6372
324.082,12.6236
325.081,12.6104
326.082,12.5966
327.082,12.5826
328.082,12.5685
329.082,12.5556
330.082,12.5417
331.082,12.5291
332.081,12.5145
333.082,12.5018
334.082,12.4881
335.082,12.4745
336.082,12.4615
337.082,12.4479
338.081,12.4345
339.082,12.421
340.082,12.3745
341.082,12.3367
342.082,12.3213
343.082,12.3081
344.082,12.2963
345.082,12.2805
346.082,12.2708
347.081,12.2542
348.082,12.2412
349.081,12.2273
350.081,12.214
351.082,12.2027
352.082,12.1875
353.085,12.1775
354.081,12.1606
355.082,12.1477
356.082,12.134
357.082,12.1204
358.082,12.1067
359.082,12.0942
360.082,12.0795
361.082,12.067
362.081,12.053
363.081,12.0411
364.082,12.0256
365.082,12.0125
366.082,12.004
367.082,11.9877
368.082,11.9764
369.082,11.9577
370.082,11.9455
371.082,11.9317
372.082,11.924
373.082,11.91
374.082,11.8948
375.082,11.8813
376.081,11.8693
377.082,11.8578
378.082,11.8427
379.082,11.8275
380.082,11.818
381.082,11.8005
382.081,11.7909
383.082,11.7762
384.081,11.7634
385.082,11.7503
386.081,11.7356
387.082,11.7255
388.082,11.7118
389.081,11.6992
390.082,11.6873
391.082,11.6748
392.082,11.6612
393.082,11.6499
394.082,11.6362
395.082,11.6222
396.082,11.6099
397.082,11.5965
398.082,11.5852
399.082,11.5724
400.081,11.5608
401.081,11.5472
402.081,11.5352
403.082,11.5226
404.082,11.5105
405.082,11.4971
406.082,11.4842
407.081,11.4714
408.082,11.4577
409.082,11.4465
410.081,11.432
411.082,11.4197
412.081,11.4074
413.082,11.3932
414.082,11.3798
415.082,11.3678
416.081,11.3548
417.082,11.3422
418.082,11.3271
419.082,11.3165
420.081,11.302
421.082,11.2888
422.082,11.2762
423.081,11.2645
424.082,11.2508
425.082,11.2382
426.081,11.2258
427.082,11.2133
428.082,11.2009
429.082,11.1896
430.082,11.1767
431.081,11.1637
432.082,11.152
433.082,11.1385
434.082,11.1273
435.082,11.1145
436.081,11.1024
437.082,11.0899
438.081,11.0752
439.082,11.0661
440.082,11.0533
441.081,11.0415
442.082,11.0316
443.081,11.0147
444.082,11.0056
445.082,10.9928
446.081,10.9794
447.082,10.9703
448.082,10.9565
449.082,10.946
450.082,10.9353
451.081,10.9215
452.082,10.9104
453.082,10.8993
454.081,10.8863
455.082,10.8743
456.081,10.8623
457.082,10.8513
458.082,10.8408
459.082,10.8277
460.082,10.8162
461.081,10.8009
462.082,10.7918
463.082,10.781
464.081,10.7685
465.082,10.7581
466.081,10.7448
467.082,10.7342
468.082,10.7225
469.081,10.7105
470.082,10.6986
471.082,10.6858
472.082,10.6747
473.082,10.6637
474.082,10.6537
475.082,10.64
476.082,10.6278
477.081,10.6162
478.081,10.606
479.081,10.5929
480.081,10.5815
481.08,10.5715
482.081,10.5563
483.081,10.5435
484.08,10.531
485.081,10.5194
486.081,10.5077
487.081,10.4942
488.081,10.4833
489.08,10.4709
490.081,10.4591
491.081,10.4467
492.081,10.436
493.08,10.4239
494.081,10.4125
495.081,10.4011
496.081,10.3916
497.081,10.3804
498.081,10.368
499.08,10.3579
500.081,10.3482
501.08,10.3369
502.081,10.3249
503.08,10.3126
504.081,10.3072
505.081,10.294
506.081,10.2808
507.081,10.2689
